SA3	Region	Median Price	12M Growth (%)	Rent Change (%)	Yield (%)	Buy Affordability	Rent Affordability	10Y Growth (PA)	Latitude	Longitude
Fairfield	Sydney - South West	$1,550,000	14.68	14	2.85	9.62	27.43	11.39495079	-33.86495001	150.8619128
Canada Bay	Sydney - Inner West	$1,368,990	5.77	8	3.24	8.98	29.15	11.57509158	-33.85047846	151.1291085
Canada Bay	Sydney - Inner West	$3,353,200	9.07	11	1.86	23.86	52.59	11.57509158	-33.85047846	151.1291085
Bathurst	Central West	$699,000	3.94	3	4.01	4.99	19.97	8.857142857	-33.39203397	149.5617101
Lower Hunter	Hunter Valley exc Newcastle	$475,000	3.37	11	4.82	6.17	29.74	9.696969697	-32.8392211	151.3702624
Lower Hunter	Hunter Valley exc Newcastle	$599,000	4.84	9	4.42	7.80	34.48	9.696969697	-32.8392211	151.3702624
Upper Hunter	Hunter Valley exc Newcastle	$490,000	10.53	4	5.20	5.93	30.84	6.457680251	-32.17051902	150.9043951
Upper Hunter	Hunter Valley exc Newcastle	$339,000	-1.21	3	7.55	2.12	16.01	6.457680251	-32.17051902	150.9043951
Maitland	Hunter Valley exc Newcastle	$520,000	-1.92	7	4.60	3.94	18.12	9.513718144	-32.69363045	151.5321268
Maitland	Hunter Valley exc Newcastle	$780,000	4.90	7	4.21	5.76	28.64	9.513718144	-32.69363045	151.5321268
Lower Hunter	Hunter Valley exc Newcastle	$440,000	3.37	11	4.96	4.94	24.51	9.696969697	-32.8231258	151.4357023
Lower Hunter	Hunter Valley exc Newcastle	$659,000	4.84	9	4.29	7.07	30.35	9.696969697	-32.8231258	151.4357023
Lower Hunter	Hunter Valley exc Newcastle	$788,144	4.84	9	3.36	6.68	22.48	9.696969697	-32.88592649	151.4023717
Blacktown - North	Sydney - Blacktown	$1,011,350	7.68	9	3.83	5.41	20.72	11.16788321	-33.73420838	150.9139982
Blacktown - North	Sydney - Blacktown	$1,300,000	5.76	8	2.94	7.71	26.82	11.16788321	-33.73420838	150.9139982
Snowy Mountains	Capital Region	$545,000	-6.09	8	5.31	8.35	44.32	10.76923077	-36.00736563	148.8137854
Newcastle	Newcastle and Lake Macquarie	$750,000	6.15	6	4.40	5.64	24.81	10.21978022	-32.93935182	151.7258633
Newcastle	Newcastle and Lake Macquarie	$1,011,150	6.36	5	3.22	9.45	36.00	10.21978022	-32.93935182	151.7258633
Newcastle	Newcastle and Lake Macquarie	$751,900	6.15	6	4.63	4.48	20.73	10.21978022	-32.94869894	151.7107107
Newcastle	Newcastle and Lake Macquarie	$1,100,000	6.36	5	3.32	8.22	32.26	10.21978022	-32.94869894	151.7107107
Tumut - Tumbarumba	Riverina	$495,000	5.62	8	5.06	5.13	25.92	10.4570185	-35.30690108	148.0735376
Richmond - Windsor	Sydney - Outer West and Blue Mountains	$1,950,000	6.36	11	2.08	13.25	27.57	8.585858586	-33.61605365	150.7083034
Campbelltown (NSW)	Sydney - Outer South West	$838,000	8.16	11	3.92	12.58	58.26	10.20357942	-34.08589964	150.8331132
Campbelltown (NSW)	Sydney - Outer South West	$539,000	5.54	9	3.77	10.68	40.31	10.20357942	-34.08589964	150.8331132
South Coast	Capital Region	$995,000	0.62	5	3.58	16.70	59.78	11.80602007	-36.34956999	150.0788114
Kiama - Shellharbour	Illawarra	$739,000	5.04	5	4.36	6.21	27.05	12.16494845	-34.58255032	150.7760664
Kiama - Shellharbour	Illawarra	$880,000	9.14	7	4.11	7.22	29.67	12.16494845	-34.58255032	150.7760664
Kiama - Shellharbour	Illawarra	$690,000	5.04	5	4.67	7.32	34.16	12.16494845	-34.56163628	150.7906842
Kiama - Shellharbour	Illawarra	$819,000	9.14	7	3.90	9.45	43.59	12.16494845	-34.56163628	150.7906842
Albury	Murray	$457,660	4.69	6	4.32	4.58	19.81	8.401785714	-36.07317778	146.9131409
Albury	Murray	$825,000	1.03	9	3.86	7.11	27.47	8.401785714	-36.07317778	146.9131409
Kempsey - Nambucca	Mid North Coast	$499,200	-2.22	6	5.76	5.52	31.83	12	-31.07262607	152.769596
Lachlan Valley	Central West	$290,000	7.69	8	6.93	2.16	15.01	9.534883721	-32.91336798	148.2617484
Sydney Inner City	Sydney - City and Inner South	$875,000	1.62	9	4.45	5.70	25.33	7.774774775	-33.90809234	151.1920458
Sydney Inner City	Sydney - City and Inner South	$2,200,000	4.39	10	2.57	13.63	41.45	7.774774775	-33.90809234	151.1920458
Sutherland - Menai - Heathcote	Sydney - Sutherland	$1,905,500	7.59	11	3.28	10.41	40.42	9.141104294	-33.98782377	151.023509
Lower Hunter	Hunter Valley exc Newcastle	$775,000	4.84	9	3.62	9.34	33.83	9.696969697	-32.43393721	151.7734435
Warringah	Sydney - Northern Beaches	$964,600	8.00	11	3.62	5.66	20.48	11.07925801	-33.77018201	151.2485599
Warringah	Sydney - Northern Beaches	$2,600,000	5.00	6	2.54	14.38	43.25	11.07925801	-33.77018201	151.2485599
Kogarah - Rockdale	Sydney - Inner South West	$785,200	7.69	5	4.39	7.06	30.99	9.050025265	-33.97292007	151.1138096
Kogarah - Rockdale	Sydney - Inner South West	$1,887,000	10.88	6	2.26	17.52	46.79	9.050025265	-33.97292007	151.1138096
Kempsey - Nambucca	Mid North Coast	$812,400	-2.22	6	3.25	13.71	52.69	12	-30.81867295	152.8102021
Great Lakes	Mid North Coast	$625,000	1.74	9	4.19	8.31	34.86	12.27056424	-32.54439102	151.9455463
Southern Highlands	Southern Highlands and Shoalhaven	$920,000	-8.58	6	3.69	6.00	22.15	9.670570313	-34.41058769	150.532416
Richmond Valley - Coastal	Richmond - Tweed	$950,000	9.09	8	3.79	8.22	31.12	12.01834862	-28.79534257	153.4438045
Richmond Valley - Coastal	Richmond - Tweed	$580,000	0.66	3	4.43	7.56	33.52	12.01834862	-28.8386283	153.4525558
Richmond Valley - Coastal	Richmond - Tweed	$880,000	9.09	8	3.63	11.53	41.90	12.01834862	-28.8386283	153.4525558
